                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.74986,                  1.319,                0.59404,                  1.005,                0.78727,                0.75801,                0.79892,                0.60668,                0.74311,                0.66219,                0.63915,                0.21879,                0.90467,                 1.2016,                0.84652,                 1.0268,              0.0005348,              0.0005348,              0.0005348
                     77,                0.75375,                 1.3276,                0.61624,                 1.0063,                0.83696,                0.73494,                0.79607,                0.61172,                0.74665,                0.65462,                0.65679,                0.22524,                0.88074,                 1.1795,                0.83743,                  1.012,               0.000515,               0.000515,               0.000515
                     78,                0.74125,                 1.3336,                0.58136,                 0.9987,                0.82813,                0.77402,                0.78989,                0.61145,                0.74358,                0.66383,                0.63702,                0.21352,                0.89031,                 1.1848,                0.86067,                 1.0042,              0.0004952,              0.0004952,              0.0004952
                     79,                0.74531,                 1.3288,                0.58704,                 1.0014,                0.81444,                0.75502,                0.78137,                0.60725,                 0.7347,                0.62283,                0.60414,                 0.2186,                0.90181,                 1.2154,                0.85454,                 1.0058,              0.0004754,              0.0004754,              0.0004754
                     80,                0.72865,                 1.2985,                0.57915,                0.99699,                0.82671,                 0.7664,                0.79428,                0.61521,                0.73401,                 0.6747,                0.64973,                0.22091,                 0.9051,                 1.1892,                0.86737,                 1.0027,              0.0004556,              0.0004556,              0.0004556
                     81,                0.73281,                 1.3047,                0.57372,                0.99786,                0.81086,                0.77108,                 0.7964,                 0.6039,                0.75901,                 0.6506,                0.63171,                0.21717,                0.91871,                 1.1988,                0.84757,                 1.0116,              0.0004358,              0.0004358,              0.0004358
                     82,                0.74068,                 1.3281,                0.58646,                 1.0002,                0.84199,                0.74699,                0.80082,                  0.617,                 0.7649,                0.66637,                0.65247,                0.21951,                0.89383,                 1.2033,                0.82806,                 1.0118,               0.000416,               0.000416,               0.000416
                     83,                0.73813,                 1.3083,                0.59277,                0.99886,                 0.8439,                0.75991,                0.77693,                  0.592,                0.75163,                0.66667,                0.63407,                0.21517,                0.90591,                 1.1895,                0.84218,                 1.0219,              0.0003962,              0.0003962,              0.0003962
                     84,                0.72941,                 1.3105,                0.56238,                0.99984,                0.82279,                 0.7751,                0.76916,                0.59229,                0.71292,                0.67068,                0.61048,                0.20796,                0.90555,                 1.2076,                0.84665,                 1.0183,              0.0003764,              0.0003764,              0.0003764
                     85,                0.72883,                 1.3158,                0.57663,                0.99482,                0.79189,                0.76707,                0.77439,                0.59759,                0.68037,                0.66678,                0.60249,                0.21633,                0.89134,                 1.2018,                0.84528,                 1.0094,              0.0003566,              0.0003566,              0.0003566
